time_step,revenue,cost,profit
1,467385.0,7908239.210357189,-7440854.210357189
2,943894.9999999999,7748792.30053603,-6804897.300536029
3,1346550.0,6737747.270943649,-5391197.270943649
4,1753545.0,6933446.078515571,-5179901.078515571
5,2300505.0,9838002.314069774,-7537497.314069769
6,3411114.487263548,19858359.04114024,-16447244.553876683
7,3456700.0,3042105.245273378,414594.7547266224
8,4129145.0,11930711.172562411,-7801566.172562408
9,4729894.230900761,9057394.763388367,-4327500.5324876
10,5641227.768538682,12839318.659686226,-7198090.891147542
11,6486486.388102865,13103242.940106153,-6616756.552003293
12,7203964.461623848,9315077.030133829,-2111112.568509978
13,7884163.579061221,13659355.204014195,-5775191.624952951
14,8607816.57933598,5134400.974633807,3473415.6047021686
15,8404304.952682475,3478708.6243067593,4925596.328375712
16,8654111.143558543,4738367.33405743,3915743.809501122
17,9609718.826458242,19415900.112783123,-9806181.286324905
18,10948483.220161166,6758149.322359149,4190333.897802018
19,10008511.31456827,5384938.930392813,4623572.384175457
20,9996741.787731182,8163757.108319464,1832984.6794117186
21,10823967.21888684,16582880.332290819,-5758913.113403981
22,11414441.62090783,6936700.567222636,4477741.053685193
23,12768592.625987535,29210383.2008073,-16441790.574819753
24,13608496.277815327,11000540.514348214,2607955.7634670995
25,14533452.23385126,7028136.373627959,7505315.8602233
26,15155341.81403045,7666353.774580614,7488988.039449836
27,14459962.151181486,4918982.712721567,9540979.438459927
28,15310864.08870329,8090784.347988697,7220079.740714597
29,16726715.72288766,8284112.083809424,8442603.639078235
30,18215271.253789265,5034009.858433257,13181261.39535599
31,16450050.75886231,4679048.126790162,11771002.632072147
32,17483417.04558491,5632203.116202665,11851213.92938224
33,18856553.15684639,6974432.600038507,11882120.556807863
34,19036610.59910755,4973388.897989386,14063221.701118153
35,19701212.803505857,10302875.511031395,9398337.292474454
36,20782747.86856949,5880153.291590389,14902594.576979103
37,20888438.659491178,17176142.798863176,3712295.8606279986
38,20964717.2602613,14195583.627047298,6769133.633213998
39,19551071.54152818,10717435.296242094,8833636.245286075
40,19564699.76217097,10232286.668589491,9332413.093581472
41,19724396.243658375,14232285.864139544,5492110.379518842
42,21456261.10977368,18263089.55869225,3193171.551081421
43,19257023.44361712,8234907.936839418,11022115.506777698
44,20269086.58988828,10265426.085606985,10003660.504281282
45,20061434.87412122,14853425.49480247,5208009.379318752
46,21786832.55053278,23236280.6906926,-1449448.140159841
47,21931220.160930566,14330213.632246148,7601006.528684413
48,23355683.269062385,23040891.893812414,314791.37524995377
49,22895799.23779204,26810317.658799354,-3914518.421007326
50,24277939.320038226,7941706.7100565275,16336232.609981673
51,22485360.0,7961396.932038371,14523963.06796164
52,20351837.58324649,11204959.988634175,9146877.594612308
53,23367491.79190069,15097925.853463784,8269565.938436905
54,23823897.876211572,7808345.345244255,16015552.530967318
55,21021699.188547306,8245465.779217722,12776233.409329556
56,22145447.814807992,7430131.046410388,14715316.7683976
57,21947577.814570427,13264829.79100108,8682748.023569347
58,22408218.419986896,12750284.396266446,9657934.023720458
59,24657983.703873362,18737450.46627839,5920533.237594982
60,26632688.05700054,20211374.334723532,6421313.722276982
61,27014576.76025472,10407439.72085139,16607137.039403353
62,26895758.95128605,8512297.131860483,18383461.81942556
63,25297114.033167675,8701292.569139734,16595821.464027919
64,26264550.482079804,8677127.90851982,17587422.57355995
65,28836254.965524737,17975176.996964257,10861077.968560487
66,31955412.15709814,24133630.565906305,7821781.591191779
67,29578434.679930374,10329135.42952032,19249299.250410087
68,29763065.381245866,23046746.587053973,6716318.794191873
69,31020140.939619504,12199546.981460927,18820593.958158582
70,32000550.2247345,12053431.67627641,19947118.548458103
71,31480216.093007907,9865550.563043838,21614665.52996408
72,32599213.11368798,16025193.327206241,16574019.786481738
73,32682295.240883745,22273545.610170595,10408749.630713174
74,34661107.56858151,13909062.913518349,20752044.65506316
75,33211441.249857843,12353031.989035824,20858409.260822006
76,32516440.024007697,12102163.502861174,20414276.52114652
77,33569641.40515301,15541864.090697326,18027777.31445566
78,35070583.23193603,18180637.787472937,16889945.444463085
79,30665774.2362258,14269613.994322697,16396160.241903104
80,31163452.814293154,18864945.992076132,12298506.822216982
81,28004927.60585382,14322186.250402167,13682741.355451647
82,25940219.651799917,12263742.824342407,13676476.827457497
83,26360233.580605403,14327583.839661757,12032649.740943624
84,27615755.598121732,23663147.456290726,3952608.141831036
85,26928493.19430352,14131342.09727709,12797151.097026424
86,28498700.63726976,12956081.915883921,15542618.721385844
87,27880215.35500915,10478787.22407788,17401428.130931273
88,26495644.39129846,11197478.769078584,15298165.622219877
89,28688362.597233556,17099374.19767345,11588988.399560094
90,32424418.72889574,32533196.774759453,-108778.04586373987
91,29083254.918653272,11897553.811922468,17185701.10673079
92,31234820.46615338,26427938.708814785,4806881.757338585
93,31987030.992516898,13501348.437852953,18485682.55466394
94,32615702.178672407,23480838.892707285,9134863.285965158
95,34082872.4189944,24413946.654812012,9668925.764182376
96,35613478.13751171,15853738.86720132,19759739.270310376
97,34263859.140134215,22811694.351572126,11452164.788562052
98,34363242.46927711,16577180.039314386,17786062.429962747
99,32397219.310366694,17716216.879341673,14681002.431024987
100,32182109.140227687,15282896.067389155,16899213.072838496
101,33275614.342986047,17409070.04592986,15866544.297056187
102,35822766.26610595,20747998.53063103,15074767.735474857
103,32784871.003714506,12306113.805085374,20478757.198629085
104,33234649.821526054,15626230.002714865,17608419.818811167
105,33732715.39749454,15911885.890695456,17820829.506799083
106,35290575.895704396,21402488.526405208,13888087.369299155
107,35369288.4680817,16103634.101924356,19265654.366157338
108,35956754.05780434,13757174.097463517,22199579.960340787
109,36242875.59665889,25890244.01407083,10352631.58258803
110,35046765.67305953,14346171.083325196,20700594.589734346
111,33247220.004574694,12027924.957471488,21219295.047103163
112,31613875.90752768,12331324.600821255,19282551.30670641
113,34085622.11064286,27232390.480729964,6853231.6299129
114,37462695.20750017,27335872.343500193,10126822.863999985
115,32964849.5,11102679.565381141,21862169.93461884
116,34427015.5,15924546.344963234,18502469.155036777
117,36906899.66088347,16182914.924277637,20723984.736605775
118,37873836.04956864,17098725.92609734,20775110.123471312
119,40405364.6074007,26644659.520293932,13760705.08710675
120,42668650.45944442,29348672.104796346,13319978.35464808
121,41934266.329718545,12718701.900538513,29215564.429180037
122,40010095.22081101,14909681.527200554,25100413.69361044
123,37676429.036248386,14083526.111624759,23592902.924623627
124,36764566.05605917,19471001.584356267,17293564.47170287
125,38259306.03589898,16663373.622505167,21595932.413393807
126,41915601.18827993,24577908.066272203,17337693.122007694
127,39010380.0,18783653.918135267,20226726.08186469
128,40155892.75747421,11977024.663790708,28178868.093683474
129,39444987.30478388,23073213.22007345,16371774.08471041
130,40966703.30338638,24372454.56864942,16594248.734736927
131,42201682.908930376,17937220.23254627,24264462.676384047
132,44292884.69519345,37126770.68853775,7166114.006655674
133,43834500.20266904,16335740.10269477,27498760.09997432
134,43408735.963344686,13149775.601309694,30258960.362034958
135,41498923.30660802,12801357.233422685,28697566.073185343
136,41806796.60057877,12539338.009254657,29267458.59132413
137,43830344.78051906,21313961.824163076,22516382.956355926
138,49973950.555077374,46563224.124518506,3410726.4305589176
139,47792608.69792354,44909902.61537579,2882706.082547751
140,50495690.47368776,30144437.634209115,20351252.83947863
141,51056667.66729815,13766271.469606176,37290396.197691955
142,48613037.967509724,16093719.207054392,32519318.7604553
143,48932656.4562999,20444614.237879828,28488042.21842005
144,51976153.78831084,18284042.988921773,33692110.79938907
145,52194344.676462576,25395175.462403275,26799169.2140593
146,53765224.79929972,26859793.0358378,26905431.763461918
147,51311165.864465155,14137336.930573864,37173828.933891326
148,51069525.152869016,20297662.522161216,30771862.63070776
149,55686988.77940197,33968401.04787743,21718587.73152455
150,58445594.28824449,28999511.036923032,29446083.251321424
151,56290388.796530455,14204610.864472369,42085777.93205802
152,61136960.25813985,39834232.19932143,21302728.058818415
153,66079386.72319283,31744044.71180529,34335342.0113874
154,67701808.15767947,15769012.264462905,51932795.89321657
155,67718782.93442553,15699632.26467956,52019150.669745974
156,70689409.4148801,16326526.585729199,54362882.82915094
157,69730624.69290563,16105646.700355822,53624977.992549896
158,72349960.91146271,15828754.00187507,56521206.90958774
159,68593222.21943717,16007692.051439947,52585530.16799734
160,66857931.63834267,15600541.47650895,51257390.161833666
161,68684359.44950794,16267276.18381559,52417083.26569236
162,74387549.50830841,16735304.533394989,57652244.974913664
163,70228463.38181129,16529470.482276535,53698992.89953484
164,71698126.28362232,16341046.203785142,55357080.079837255
165,69212735.71549697,15890495.856325045,53322239.85917194
166,67732728.9094618,15505394.832220867,52227334.07724086
167,66820833.938035496,15863400.99213166,50957432.94590375
168,67471793.60427603,16070101.362414079,51401692.24186189
