server_generation,latency_sensitivity,time_step,capacity,demand
CPU.S1,low,1,12075.0,12075.0
CPU.S1,medium,1,8039.0,8039.0
CPU.S1,high,1,6144.0,6144.0
CPU.S2,low,1,0.0,0.0
CPU.S2,medium,1,0.0,0.0
CPU.S2,high,1,0.0,0.0
CPU.S3,low,1,0.0,0.0
CPU.S3,medium,1,0.0,0.0
CPU.S3,high,1,0.0,0.0
CPU.S4,low,1,0.0,0.0
CPU.S4,medium,1,0.0,0.0
CPU.S4,high,1,0.0,0.0
GPU.S1,low,1,4.0,4.0
GPU.S1,medium,1,15.0,15.0
GPU.S1,high,1,22.0,22.0
GPU.S2,low,1,0.0,0.0
GPU.S2,medium,1,0.0,0.0
GPU.S2,high,1,0.0,0.0
GPU.S3,low,1,0.0,0.0
GPU.S3,medium,1,0.0,0.0
GPU.S3,high,1,0.0,0.0
CPU.S1,low,2,21297.0,21297.0
CPU.S1,medium,2,16556.0,16556.0
CPU.S1,high,2,12818.0,12818.0
CPU.S2,low,2,0.0,0.0
CPU.S2,medium,2,0.0,0.0
CPU.S2,high,2,0.0,0.0
CPU.S3,low,2,0.0,0.0
CPU.S3,medium,2,0.0,0.0
CPU.S3,high,2,0.0,0.0
CPU.S4,low,2,0.0,0.0
CPU.S4,medium,2,0.0,0.0
CPU.S4,high,2,0.0,0.0
GPU.S1,low,2,11.0,11.0
GPU.S1,medium,2,32.0,32.0
GPU.S1,high,2,49.0,49.0
GPU.S2,low,2,0.0,0.0
GPU.S2,medium,2,0.0,0.0
GPU.S2,high,2,0.0,0.0
GPU.S3,low,2,0.0,0.0
GPU.S3,medium,2,0.0,0.0
GPU.S3,high,2,0.0,0.0
CPU.S1,low,3,29525.0,29525.0
CPU.S1,medium,3,24347.0,24347.0
CPU.S1,high,3,17707.0,17707.0
CPU.S2,low,3,0.0,0.0
CPU.S2,medium,3,0.0,0.0
CPU.S2,high,3,0.0,0.0
CPU.S3,low,3,0.0,0.0
CPU.S3,medium,3,0.0,0.0
CPU.S3,high,3,0.0,0.0
CPU.S4,low,3,0.0,0.0
CPU.S4,medium,3,0.0,0.0
CPU.S4,high,3,0.0,0.0
GPU.S1,low,3,18.0,18.0
GPU.S1,medium,3,44.0,44.0
