server_generation,latency_sensitivity,time_step,capacity,demand
CPU.S1,low,1,7937.0,7937
CPU.S1,medium,1,9235.0,9235
CPU.S1,high,1,4346.0,4346
CPU.S2,low,1,0.0,0
CPU.S2,medium,1,0.0,0
CPU.S2,high,1,0.0,0
CPU.S3,low,1,0.0,0
CPU.S3,medium,1,0.0,0
CPU.S3,high,1,0.0,0
CPU.S4,low,1,0.0,0
CPU.S4,medium,1,0.0,0
CPU.S4,high,1,0.0,0
GPU.S1,low,1,12.0,12
GPU.S1,medium,1,0.0,0
GPU.S1,high,1,54.0,54
GPU.S2,low,1,0.0,0
GPU.S2,medium,1,0.0,0
GPU.S2,high,1,0.0,0
GPU.S3,low,1,0.0,0
GPU.S3,medium,1,0.0,0
GPU.S3,high,1,0.0,0
CPU.S1,low,2,16884.0,16884
CPU.S1,medium,2,19722.0,19722
CPU.S1,high,2,8039.0,8039
CPU.S2,low,2,0.0,0
CPU.S2,medium,2,0.0,0
CPU.S2,high,2,0.0,0
CPU.S3,low,2,0.0,0
CPU.S3,medium,2,0.0,0
CPU.S3,high,2,0.0,0
CPU.S4,low,2,0.0,0
CPU.S4,medium,2,0.0,0
CPU.S4,high,2,0.0,0
GPU.S1,low,2,29.0,29
GPU.S1,medium,2,2.0,2
GPU.S1,high,2,90.0,90
GPU.S2,low,2,0.0,0
GPU.S2,medium,2,0.0,0
GPU.S2,high,2,0.0,0
GPU.S3,low,2,0.0,0
GPU.S3,medium,2,0.0,0
GPU.S3,high,2,0.0,0
CPU.S1,low,3,21346.0,21346
CPU.S1,medium,3,27524.0,27524
CPU.S1,high,3,12276.0,12276
CPU.S2,low,3,0.0,0
CPU.S2,medium,3,0.0,0
CPU.S2,high,3,0.0,0
CPU.S3,low,3,0.0,0
CPU.S3,medium,3,0.0,0
CPU.S3,high,3,0.0,0
CPU.S4,low,3,0.0,0
CPU.S4,medium,3,0.0,0
CPU.S4,high,3,0.0,0
GPU.S1,low,3,41.0,41
GPU.S1,medium,3,0.0,0
GPU.S1,high,3,132.0,132
GPU.S2,low,3,0.0,0
GPU.S2,medium,3,0.0,0
GPU.S2,high,3,0.0,0
GPU.S3,low,3,0.0,0
GPU.S3,medium,3,0.0,0
GPU.S3,high,3,0.0,0
CPU.S1,low,4,29265.0,29265
CPU.S1,medium,4,37118.0,37118
CPU.S1,high,4,15067.0,15067
CPU.S2,low,4,0.0,0
CPU.S2,medium,4,0.0,0
CPU.S2,high,4,0.0,0
CPU.S3,low,4,0.0,0
CPU.S3,medium,4,0.0,0
CPU.S3,high,4,0.0,0
CPU.S4,low,4,0.0,0
CPU.S4,medium,4,0.0,0
CPU.S4,high,4,0.0,0
GPU.S1,low,4,58.0,58
GPU.S1,medium,4,3.0,3
GPU.S1,high,4,155.0,155
GPU.S2,low,4,0.0,0
GPU.S2,medium,4,0.0,0
GPU.S2,high,4,0.0,0
GPU.S3,low,4,0.0,0
GPU.S3,medium,4,0.0,0
GPU.S3,high,4,0.0,0
CPU.S1,low,5,30466.86403059813,36451
CPU.S1,medium,5,52385.0,52385
CPU.S1,high,5,24632.0,24632
CPU.S2,low,5,0.0,0
CPU.S2,medium,5,0.0,0
CPU.S2,high,5,0.0,0
CPU.S3,low,5,0.0,0
CPU.S3,medium,5,0.0,0
CPU.S3,high,5,0.0,0
CPU.S4,low,5,0.0,0
CPU.S4,medium,5,0.0,0
CPU.S4,high,5,0.0,0
GPU.S1,low,5,77.0,77
GPU.S1,medium,5,13.0,13
GPU.S1,high,5,176.0,176
GPU.S2,low,5,0.0,0
GPU.S2,medium,5,0.0,0
GPU.S2,high,5,0.0,0
GPU.S3,low,5,0.0,0
GPU.S3,medium,5,0.0,0
GPU.S3,high,5,0.0,0
CPU.S1,low,6,30061.21176567288,58005
CPU.S1,medium,6,60907.22428656651,74364
CPU.S1,high,6,31956.0,31956
CPU.S2,low,6,0.0,0
CPU.S2,medium,6,0.0,0
CPU.S2,high,6,0.0,0
CPU.S3,low,6,0.0,0
CPU.S3,medium,6,0.0,0
CPU.S3,high,6,0.0,0
CPU.S4,low,6,0.0,0
CPU.S4,medium,6,0.0,0
CPU.S4,high,6,0.0,0
GPU.S1,low,6,97.0,97
GPU.S1,medium,6,15.0,15
GPU.S1,high,6,159.0,159
GPU.S2,low,6,0.0,0
GPU.S2,medium,6,0.0,0
GPU.S2,high,6,0.0,0
GPU.S3,low,6,0.0,0
GPU.S3,medium,6,0.0,0
GPU.S3,high,6,0.0,0
CPU.S1,low,7,29930.659875199337,67946
CPU.S1,medium,7,62426.0,62426
CPU.S1,high,7,32305.708325698266,25735
CPU.S2,low,7,0.0,0
CPU.S2,medium,7,0.0,0
CPU.S2,high,7,0.0,0
CPU.S3,low,7,0.0,0
CPU.S3,medium,7,0.0,0
CPU.S3,high,7,0.0,0
CPU.S4,low,7,0.0,0
CPU.S4,medium,7,0.0,0
CPU.S4,high,7,0.0,0
GPU.S1,low,7,113.0,113
GPU.S1,medium,7,23.0,23
GPU.S1,high,7,197.0,197
GPU.S2,low,7,0.0,0
GPU.S2,medium,7,0.0,0
GPU.S2,high,7,0.0,0
GPU.S3,low,7,0.0,0
GPU.S3,medium,7,0.0,0
GPU.S3,high,7,0.0,0
CPU.S1,low,8,30549.322671634378,70718
CPU.S1,medium,8,74899.0,74899
CPU.S1,high,8,39586.0,39586
CPU.S2,low,8,0.0,0
CPU.S2,medium,8,0.0,0
CPU.S2,high,8,0.0,0
CPU.S3,low,8,0.0,0
CPU.S3,medium,8,0.0,0
CPU.S3,high,8,0.0,0
CPU.S4,low,8,0.0,0
CPU.S4,medium,8,0.0,0
CPU.S4,high,8,0.0,0
GPU.S1,low,8,115.0,115
GPU.S1,medium,8,47.0,47
GPU.S1,high,8,350.0,350
GPU.S2,low,8,0.0,0
GPU.S2,medium,8,0.0,0
GPU.S2,high,8,0.0,0
GPU.S3,low,8,0.0,0
GPU.S3,medium,8,0.0,0
GPU.S3,high,8,0.0,0
CPU.S1,low,9,29824.958388652376,55660
CPU.S1,medium,9,88389.0,88389
CPU.S1,high,9,47750.0,47750
CPU.S2,low,9,0.0,0
CPU.S2,medium,9,0.0,0
CPU.S2,high,9,0.0,0
CPU.S3,low,9,0.0,0
CPU.S3,medium,9,0.0,0
CPU.S3,high,9,0.0,0
CPU.S4,low,9,0.0,0
CPU.S4,medium,9,0.0,0
CPU.S4,high,9,0.0,0
GPU.S1,low,9,131.0,131
GPU.S1,medium,9,39.0,39
GPU.S1,high,9,472.0,472
GPU.S2,low,9,0.0,0
GPU.S2,medium,9,0.0,0
GPU.S2,high,9,0.0,0
GPU.S3,low,9,0.0,0
GPU.S3,medium,9,0.0,0
GPU.S3,high,9,0.0,0
CPU.S1,low,10,29933.28812649099,67941
CPU.S1,medium,10,98018.0,98018
CPU.S1,high,10,56122.0,56122
CPU.S2,low,10,0.0,0
CPU.S2,medium,10,0.0,0
CPU.S2,high,10,0.0,0
CPU.S3,low,10,0.0,0
CPU.S3,medium,10,0.0,0
CPU.S3,high,10,0.0,0
CPU.S4,low,10,0.0,0
CPU.S4,medium,10,0.0,0
CPU.S4,high,10,0.0,0
GPU.S1,low,10,176.0,176
GPU.S1,medium,10,33.0,33
GPU.S1,high,10,547.0,547
GPU.S2,low,10,0.0,0
GPU.S2,medium,10,0.0,0
GPU.S2,high,10,0.0,0
GPU.S3,low,10,0.0,0
GPU.S3,medium,10,0.0,0
GPU.S3,high,10,0.0,0
CPU.S1,low,11,30551.96931737634,64100
CPU.S1,medium,11,103156.0,103156
CPU.S1,high,11,65904.20520847994,67131
CPU.S2,low,11,0.0,0
CPU.S2,medium,11,0.0,0
CPU.S2,high,11,0.0,0
CPU.S3,low,11,0.0,0
CPU.S3,medium,11,0.0,0
CPU.S3,high,11,0.0,0
CPU.S4,low,11,0.0,0
CPU.S4,medium,11,0.0,0
CPU.S4,high,11,0.0,0
GPU.S1,low,11,193.0,193
GPU.S1,medium,11,46.0,46
GPU.S1,high,11,530.0,530
GPU.S2,low,11,0.0,0
GPU.S2,medium,11,0.0,0
GPU.S2,high,11,0.0,0
GPU.S3,low,11,0.0,0
GPU.S3,medium,11,0.0,0
GPU.S3,high,11,0.0,0
CPU.S1,low,12,23980.646266709336,76814
CPU.S1,medium,12,122872.63490706126,125280
CPU.S1,high,12,64002.0,64002
CPU.S2,low,12,0.0,0
CPU.S2,medium,12,0.0,0
CPU.S2,high,12,0.0,0
CPU.S3,low,12,0.0,0
CPU.S3,medium,12,0.0,0
CPU.S3,high,12,0.0,0
CPU.S4,low,12,0.0,0
CPU.S4,medium,12,0.0,0
CPU.S4,high,12,0.0,0
GPU.S1,low,12,247.0,247
GPU.S1,medium,12,28.0,28
GPU.S1,high,12,561.0,561
GPU.S2,low,12,0.0,0
GPU.S2,medium,12,0.0,0
GPU.S2,high,12,0.0,0
GPU.S3,low,12,0.0,0
GPU.S3,medium,12,0.0,0
GPU.S3,high,12,0.0,0
CPU.S1,low,13,24453.730335762,33957
CPU.S1,medium,13,126367.0,126367
CPU.S1,high,13,63919.55048118259,60470
CPU.S2,low,13,0.0,0
CPU.S2,medium,13,0.0,0
CPU.S2,high,13,0.0,0
CPU.S3,low,13,0.0,0
CPU.S3,medium,13,0.0,0
CPU.S3,high,13,0.0,0
CPU.S4,low,13,0.0,0
CPU.S4,medium,13,0.0,0
CPU.S4,high,13,0.0,0
GPU.S1,low,13,286.28908671604904,279
GPU.S1,medium,13,42.72097758081485,35
GPU.S1,high,13,515.7544802532764,455
GPU.S2,low,13,0.0,0
GPU.S2,medium,13,0.0,0
GPU.S2,high,13,0.0,0
GPU.S3,low,13,0.0,0
GPU.S3,medium,13,0.0,0
GPU.S3,high,13,0.0,0
CPU.S1,low,14,12908.462046291179,12709
CPU.S1,medium,14,133184.92624172207,142246
CPU.S1,high,14,70715.0,70715
CPU.S2,low,14,0.0,0
CPU.S2,medium,14,0.0,0
CPU.S2,high,14,0.0,0
CPU.S3,low,14,0.0,0
CPU.S3,medium,14,0.0,0
CPU.S3,high,14,0.0,0
CPU.S4,low,14,0.0,0
CPU.S4,medium,14,0.0,0
CPU.S4,high,14,0.0,0
GPU.S1,low,14,295.0,295
GPU.S1,medium,14,58.0,58
GPU.S1,high,14,497.0,497
GPU.S2,low,14,0.0,0
GPU.S2,medium,14,0.0,0
GPU.S2,high,14,0.0,0
GPU.S3,low,14,0.0,0
GPU.S3,medium,14,0.0,0
GPU.S3,high,14,0.0,0
CPU.S1,low,15,12811.0,12811
CPU.S1,medium,15,133370.0,133370
CPU.S1,high,15,70412.03215285651,64654
CPU.S2,low,15,0.0,0
CPU.S2,medium,15,0.0,0
CPU.S2,high,15,0.0,0
CPU.S3,low,15,0.0,0
CPU.S3,medium,15,0.0,0
CPU.S3,high,15,0.0,0
CPU.S4,low,15,0.0,0
CPU.S4,medium,15,0.0,0
CPU.S4,high,15,0.0,0
GPU.S1,low,15,306.0,306
GPU.S1,medium,15,73.0,73
GPU.S1,high,15,748.0,748
GPU.S2,low,15,0.0,0
GPU.S2,medium,15,0.0,0
GPU.S2,high,15,0.0,0
GPU.S3,low,15,0.0,0
GPU.S3,medium,15,0.0,0
GPU.S3,high,15,0.0,0
CPU.S1,low,16,13009.051112111043,0
CPU.S1,medium,16,128724.59694036607,126881
CPU.S1,high,16,95301.0,95301
CPU.S2,low,16,0.0,0
CPU.S2,medium,16,0.0,0
CPU.S2,high,16,0.0,0
CPU.S3,low,16,0.0,0
CPU.S3,medium,16,0.0,0
CPU.S3,high,16,0.0,0
CPU.S4,low,16,0.0,0
CPU.S4,medium,16,0.0,0
CPU.S4,high,16,0.0,0
GPU.S1,low,16,301.6589483311043,310
GPU.S1,medium,16,91.70791204086197,130
GPU.S1,high,16,825.0,825
GPU.S2,low,16,0.0,0
GPU.S2,medium,16,0.0,0
GPU.S2,high,16,0.0,0
GPU.S3,low,16,0.0,0
GPU.S3,medium,16,0.0,0
GPU.S3,high,16,0.0,0
CPU.S1,low,17,12574.461704163972,10476
CPU.S1,medium,17,135575.0,135575
CPU.S1,high,17,100232.0,100232
CPU.S2,low,17,0.0,0
CPU.S2,medium,17,0.0,0
CPU.S2,high,17,0.0,0
CPU.S3,low,17,0.0,0
CPU.S3,medium,17,0.0,0
CPU.S3,high,17,0.0,0
CPU.S4,low,17,0.0,0
CPU.S4,medium,17,0.0,0
CPU.S4,high,17,0.0,0
GPU.S1,low,17,427.28738547724043,362
GPU.S1,medium,17,208.8886317020576,169
GPU.S1,high,17,565.5872180339143,454
GPU.S2,low,17,0.0,0
GPU.S2,medium,17,0.0,0
GPU.S2,high,17,0.0,0
GPU.S3,low,17,0.0,0
GPU.S3,medium,17,0.0,0
GPU.S3,high,17,0.0,0
CPU.S1,low,18,12437.448200378072,14304
CPU.S1,medium,18,145250.6770283906,171509
CPU.S1,high,18,100811.11209076949,105035
CPU.S2,low,18,0.0,0
CPU.S2,medium,18,0.0,0
CPU.S2,high,18,0.0,0
CPU.S3,low,18,0.0,0
CPU.S3,medium,18,0.0,0
CPU.S3,high,18,0.0,0
CPU.S4,low,18,0.0,0
CPU.S4,medium,18,0.0,0
CPU.S4,high,18,0.0,0
GPU.S1,low,18,425.0,425
GPU.S1,medium,18,204.0,204
GPU.S1,high,18,581.0,581
GPU.S2,low,18,0.0,0
GPU.S2,medium,18,0.0,0
GPU.S2,high,18,0.0,0
GPU.S3,low,18,0.0,0
GPU.S3,medium,18,0.0,0
GPU.S3,high,18,0.0,0
CPU.S1,low,19,20112.483890084983,32793
CPU.S1,medium,19,148263.0,148263
CPU.S1,high,19,94880.41147504498,65543
CPU.S2,low,19,0.0,0
CPU.S2,medium,19,0.0,0
CPU.S2,high,19,0.0,0
CPU.S3,low,19,0.0,0
CPU.S3,medium,19,0.0,0
CPU.S3,high,19,0.0,0
CPU.S4,low,19,0.0,0
CPU.S4,medium,19,0.0,0
CPU.S4,high,19,0.0,0
GPU.S1,low,19,435.0,435
GPU.S1,medium,19,239.0,239
GPU.S1,high,19,1178.0,1178
GPU.S2,low,19,0.0,0
GPU.S2,medium,19,0.0,0
GPU.S2,high,19,0.0,0
GPU.S3,low,19,0.0,0
GPU.S3,medium,19,0.0,0
GPU.S3,high,19,0.0,0
CPU.S1,low,20,19570.981567177485,78928
CPU.S1,medium,20,182787.0,182787
CPU.S1,high,20,94277.0,94277
CPU.S2,low,20,0.0,0
CPU.S2,medium,20,0.0,0
CPU.S2,high,20,0.0,0
CPU.S3,low,20,0.0,0
CPU.S3,medium,20,0.0,0
CPU.S3,high,20,0.0,0
CPU.S4,low,20,0.0,0
CPU.S4,medium,20,0.0,0
CPU.S4,high,20,0.0,0
GPU.S1,low,20,486.0,486
GPU.S1,medium,20,252.0,252
GPU.S1,high,20,1214.0,1214
GPU.S2,low,20,0.0,0
GPU.S2,medium,20,0.0,0
GPU.S2,high,20,0.0,0
GPU.S3,low,20,0.0,0
GPU.S3,medium,20,0.0,0
GPU.S3,high,20,0.0,0
CPU.S1,low,21,19835.451790544357,125095
CPU.S1,medium,21,190487.65217472948,196116
CPU.S1,high,21,90352.0,90352
CPU.S2,low,21,0.0,0
CPU.S2,medium,21,0.0,0
CPU.S2,high,21,0.0,0
CPU.S3,low,21,0.0,0
CPU.S3,medium,21,0.0,0
CPU.S3,high,21,0.0,0
CPU.S4,low,21,0.0,0
CPU.S4,medium,21,0.0,0
CPU.S4,high,21,0.0,0
GPU.S1,low,21,489.0,489
GPU.S1,medium,21,324.0,324
GPU.S1,high,21,1553.8326988758208,1744
GPU.S2,low,21,0.0,0
GPU.S2,medium,21,0.0,0
GPU.S2,high,21,0.0,0
GPU.S3,low,21,0.0,0
GPU.S3,medium,21,0.0,0
GPU.S3,high,21,0.0,0
CPU.S1,low,22,19362.518185672263,188915
CPU.S1,medium,22,190043.0,190043
CPU.S1,high,22,91615.20188745618,86130
CPU.S2,low,22,0.0,0
CPU.S2,medium,22,0.0,0
CPU.S2,high,22,0.0,0
CPU.S3,low,22,0.0,0
CPU.S3,medium,22,0.0,0
CPU.S3,high,22,0.0,0
CPU.S4,low,22,0.0,0
CPU.S4,medium,22,0.0,0
CPU.S4,high,22,0.0,0
GPU.S1,low,22,484.0,484
GPU.S1,medium,22,367.0,367
GPU.S1,high,22,1559.0,1559
GPU.S2,low,22,0.0,0
GPU.S2,medium,22,0.0,0
GPU.S2,high,22,0.0,0
GPU.S3,low,22,0.0,0
GPU.S3,medium,22,0.0,0
GPU.S3,high,22,0.0,0
CPU.S1,low,23,20077.863395482695,153522
CPU.S1,medium,23,206245.0,206245
CPU.S1,high,23,90122.0,90122
CPU.S2,low,23,0.0,0
CPU.S2,medium,23,0.0,0
CPU.S2,high,23,0.0,0
CPU.S3,low,23,0.0,0
CPU.S3,medium,23,0.0,0
CPU.S3,high,23,0.0,0
CPU.S4,low,23,0.0,0
CPU.S4,medium,23,0.0,0
CPU.S4,high,23,0.0,0
GPU.S1,low,23,491.4913164982568,536
GPU.S1,medium,23,356.77218792962896,364
GPU.S1,high,23,1499.3474820186082,1506
GPU.S2,low,23,0.0,0
GPU.S2,medium,23,0.0,0
GPU.S2,high,23,0.0,0
GPU.S3,low,23,0.0,0
GPU.S3,medium,23,0.0,0
GPU.S3,high,23,0.0,0
CPU.S1,low,24,19592.43205264135,187880
CPU.S1,medium,24,262414.0,262414
CPU.S1,high,24,123365.0,123365
CPU.S2,low,24,0.0,0
CPU.S2,medium,24,0.0,0
CPU.S2,high,24,0.0,0
CPU.S3,low,24,0.0,0
CPU.S3,medium,24,0.0,0
CPU.S3,high,24,0.0,0
CPU.S4,low,24,0.0,0
CPU.S4,medium,24,0.0,0
CPU.S4,high,24,0.0,0
GPU.S1,low,24,769.6204362845363,533
GPU.S1,medium,24,357.5882247531872,293
GPU.S1,high,24,1231.0,1231
GPU.S2,low,24,0.0,0
GPU.S2,medium,24,0.0,0
GPU.S2,high,24,0.0,0
GPU.S3,low,24,0.0,0
GPU.S3,medium,24,0.0,0
GPU.S3,high,24,0.0,0
CPU.S1,low,25,19993.285952170085,304661
CPU.S1,medium,25,266742.0161248462,275615
CPU.S1,high,25,170804.0,170804
CPU.S2,low,25,0.0,0
CPU.S2,medium,25,0.0,0
CPU.S2,high,25,0.0,0
CPU.S3,low,25,0.0,0
CPU.S3,medium,25,0.0,0
CPU.S3,high,25,0.0,0
CPU.S4,low,25,0.0,0
CPU.S4,medium,25,0.0,0
CPU.S4,high,25,0.0,0
GPU.S1,low,25,884.0815145433155,570
GPU.S1,medium,25,360.2569277913653,313
GPU.S1,high,25,1081.0,1081
GPU.S2,low,25,0.0,0
GPU.S2,medium,25,0.0,0
GPU.S2,high,25,0.0,0
GPU.S3,low,25,0.0,0
GPU.S3,medium,25,0.0,0
GPU.S3,high,25,0.0,0
CPU.S1,low,26,19542.095695664422,426563
CPU.S1,medium,26,269007.28598607547,272945
CPU.S1,high,26,182185.55830876174,196046
CPU.S2,low,26,0.0,0
CPU.S2,medium,26,0.0,0
CPU.S2,high,26,0.0,0
CPU.S3,low,26,0.0,0
CPU.S3,medium,26,0.0,0
CPU.S3,high,26,0.0,0
CPU.S4,low,26,0.0,0
CPU.S4,medium,26,0.0,0
CPU.S4,high,26,0.0,0
GPU.S1,low,26,894.688998692101,602
GPU.S1,medium,26,367.1422436862353,333
GPU.S1,high,26,1128.5017688218659,1098
GPU.S2,low,26,0.0,0
GPU.S2,medium,26,0.0,0
GPU.S2,high,26,0.0,0
GPU.S3,low,26,0.0,0
GPU.S3,medium,26,0.0,0
GPU.S3,high,26,0.0,0
CPU.S1,low,27,19548.986244539956,444689
